Round,Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Round_x,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Round_y,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y
Regular season,1.0,Fri,2021-08-13,20:30,M'Gladbach,2.3,2.5,Bayern Munich,22925.0,Stadion im Borussia-Park,Marco Fritz,0,1,1,Regular season,7.0,3.0,12.0,518.0,32.0,18.0,16.0,21.0,3.0,9.0,19.0,79.0,Regular season,4.0,8.0,23.0,805.0,18.0,11.0,20.0,10.0,4.0
Regular season,1.0,Sat,2021-08-14,15:30,Stuttgart,3.0,1.2,Greuther Fürth,18109.0,Mercedes-Benz Arena,Felix Zwayer,1,5,1,Regular season,10.0,9.0,24.0,788.0,9.0,3.0,10.0,8.0,3.0,4.0,21.0,65.0,Regular season,8.0,2.0,8.0,436.0,16.0,7.0,5.0,16.0,0.0
Regular season,1.0,Sat,2021-08-14,15:30,Union Berlin,0.5,0.8,Leverkusen,11000.0,Stadion An der Alten Försterei,Tobias Reichel,2,1,1,Regular season,13.0,1.0,10.0,464.0,16.0,9.0,19.0,21.0,2.0,6.0,25.0,66.0,Regular season,5.0,6.0,17.0,792.0,17.0,15.0,14.0,13.0,2.0
Regular season,1.0,Sat,2021-08-14,15:30,Wolfsburg,2.0,0.4,Bochum,8536.0,Volkswagen Arena,Frank Willenborg,3,1,0,Regular season,9.0,5.0,23.0,691.0,12.0,20.0,11.0,15.0,2.0,6.0,24.0,68.0,Regular season,7.0,2.0,11.0,492.0,16.0,11.0,6.0,16.0,2.0
Regular season,1.0,Sat,2021-08-14,15:30,Arminia,0.4,1.6,Freiburg,13750.0,SchücoArena,Sven Jablonski,4,0,0,Regular season,14.0,4.0,16.0,483.0,18.0,10.0,27.0,21.0,1.0,12.0,27.0,105.0,Regular season,10.0,9.0,24.0,590.0,12.0,11.0,24.0,30.0,2.0
Regular season,1.0,Sat,2021-08-14,15:30,Augsburg,0.6,3.8,Hoffenheim,9124.0,WWK Arena,Felix Brych,5,0,4,Regular season,8.0,6.0,18.0,507.0,8.0,9.0,13.0,10.0,2.0,8.0,20.0,71.0,Regular season,10.0,5.0,11.0,583.0,18.0,5.0,9.0,23.0,2.0
Regular season,1.0,Sat,2021-08-14,18:30,Dortmund,2.7,1.3,Eint Frankfurt,25000.0,Signal Iduna Park,Tobias Stieler,6,5,2,Regular season,5.0,7.0,13.0,754.0,13.0,11.0,11.0,17.0,4.0,9.0,23.0,66.0,Regular season,14.0,3.0,19.0,536.0,25.0,13.0,9.0,14.0,1.0
Regular season,1.0,Sun,2021-08-15,15:30,Mainz 05,1.2,1.1,RB Leipzig,10500.0,Mewa Arena,Daniel Siebert,7,1,0,Regular season,10.0,5.0,12.0,422.0,15.0,17.0,17.0,32.0,2.0,9.0,25.0,75.0,Regular season,8.0,11.0,36.0,795.0,13.0,11.0,25.0,16.0,2.0
Regular season,1.0,Sun,2021-08-15,17:30,Köln,1.6,1.8,Hertha BSC,16500.0,RheinEnergieSTADION,Robert Hartmann,8,3,1,Regular season,18.0,4.0,25.0,621.0,19.0,17.0,13.0,17.0,2.0,7.0,27.0,64.0,Regular season,14.0,5.0,12.0,483.0,11.0,10.0,15.0,36.0,3.0
Regular season,2.0,Fri,2021-08-20,20:30,RB Leipzig,3.6,1.1,Stuttgart,23100.0,Red Bull Arena,Florian Badstübner,9,4,0,Regular season,10.0,6.0,18.0,641.0,15.0,10.0,15.0,17.0,1.0,4.0,15.0,60.0,Regular season,11.0,2.0,14.0,576.0,19.0,12.0,12.0,17.0,1.0
Regular season,2.0,Sat,2021-08-21,15:30,Hertha BSC,1.2,1.0,Wolfsburg,18241.0,Olympiastadion Berlin,Matthias Jöllenbeck,10,1,2,Regular season,12.0,4.0,14.0,477.0,14.0,10.0,15.0,22.0,0.0,5.0,21.0,57.0,Regular season,22.0,4.0,27.0,633.0,11.0,10.0,23.0,19.0,1.0
Regular season,2.0,Sat,2021-08-21,15:30,Bochum,0.8,0.9,Mainz 05,12548.0,Vonovia Ruhrstadion,Patrick Ittrich,11,2,0,Regular season,15.0,2.0,12.0,475.0,13.0,8.0,28.0,37.0,1.0,11.0,18.0,84.0,Regular season,20.0,7.0,24.0,567.0,4.0,10.0,22.0,12.0,1.0
Regular season,2.0,Sat,2021-08-21,15:30,Greuther Fürth,2.5,0.8,Arminia,5890.0,Sportpark Ronhof Thomas Sommer,Daniel Schlager,12,1,1,Regular season,12.0,5.0,13.0,678.0,10.0,5.0,28.0,9.0,6.0,9.0,24.0,87.0,Regular season,14.0,0.0,13.0,416.0,18.0,21.0,25.0,13.0,1.0
Regular season,2.0,Sat,2021-08-21,15:30,Freiburg,1.3,1.6,Dortmund,10100.0,Schwarzwald-Stadion,Robert Schröder,13,2,1,Regular season,14.0,0.0,9.0,371.0,12.0,16.0,14.0,41.0,0.0,13.0,10.0,66.0,Regular season,14.0,10.0,25.0,857.0,11.0,4.0,17.0,7.0,1.0
Regular season,2.0,Sat,2021-08-21,15:30,Eint Frankfurt,1.6,0.3,Augsburg,22000.0,Deutsche Bank Park,Harm Osmers,14,0,0,Regular season,9.0,6.0,24.0,678.0,15.0,6.0,29.0,17.0,1.0,7.0,31.0,97.0,Regular season,10.0,1.0,14.0,466.0,11.0,12.0,20.0,21.0,2.0
Regular season,2.0,Sat,2021-08-21,18:30,Leverkusen,1.9,1.7,M'Gladbach,15105.0,BayArena,Deniz Aytekin,15,4,0,Regular season,10.0,7.0,9.0,579.0,20.0,8.0,6.0,15.0,5.0,9.0,13.0,56.0,Regular season,11.0,3.0,11.0,634.0,18.0,4.0,10.0,15.0,2.0
Regular season,2.0,Sun,2021-08-22,15:30,Hoffenheim,1.0,1.8,Union Berlin,8014.0,PreZero Arena,Sascha Stegemann,16,2,2,Regular season,9.0,6.0,16.0,765.0,11.0,4.0,18.0,19.0,2.0,2.0,28.0,58.0,Regular season,10.0,5.0,18.0,486.0,15.0,7.0,22.0,22.0,5.0
Regular season,2.0,Sun,2021-08-22,17:30,Bayern Munich,2.6,1.1,Köln,20000.0,Allianz Arena,Martin Petersen,17,3,2,Regular season,14.0,3.0,14.0,719.0,19.0,7.0,16.0,23.0,0.0,6.0,24.0,78.0,Regular season,10.0,4.0,22.0,572.0,25.0,17.0,17.0,17.0,1.0
Regular season,3.0,Fri,2021-08-27,20:30,Dortmund,3.4,2.2,Hoffenheim,25000.0,Signal Iduna Park,Felix Zwayer,18,3,2,Regular season,9.0,4.0,17.0,730.0,17.0,10.0,20.0,21.0,4.0,4.0,24.0,54.0,Regular season,12.0,7.0,17.0,526.0,23.0,12.0,8.0,11.0,2.0
Regular season,3.0,Sat,2021-08-28,15:30,Mainz 05,2.7,0.2,Greuther Fürth,11500.0,Mewa Arena,Tobias Reichel,19,3,0,Regular season,21.0,7.0,18.0,514.0,21.0,21.0,15.0,17.0,3.0,8.0,17.0,64.0,Regular season,14.0,4.0,16.0,546.0,16.0,10.0,12.0,25.0,2.0
Regular season,3.0,Sat,2021-08-28,15:30,Stuttgart,1.8,1.3,Freiburg,25000.0,Mercedes-Benz Arena,Frank Willenborg,20,2,3,Regular season,10.0,8.0,24.0,705.0,8.0,2.0,23.0,13.0,1.0,7.0,24.0,58.0,Regular season,14.0,5.0,15.0,464.0,19.0,7.0,22.0,34.0,0.0
Regular season,3.0,Sat,2021-08-28,15:30,Arminia,0.6,1.5,Eint Frankfurt,13750.0,SchücoArena,Bastian Dankert,21,1,1,Regular season,13.0,4.0,21.0,456.0,7.0,13.0,22.0,16.0,0.0,5.0,27.0,72.0,Regular season,17.0,4.0,19.0,792.0,16.0,9.0,26.0,31.0,2.0
Regular season,3.0,Sat,2021-08-28,15:30,Augsburg,1.8,2.0,Leverkusen,10582.0,WWK Arena,Benjamin Brand,22,1,4,Regular season,12.0,4.0,24.0,524.0,14.0,10.0,13.0,8.0,1.0,5.0,26.0,77.0,Regular season,10.0,4.0,9.0,686.0,20.0,17.0,9.0,18.0,0.0
Regular season,3.0,Sat,2021-08-28,15:30,Köln,3.2,0.6,Bochum,25000.0,RheinEnergieSTADION,Benjamin Cortus,23,2,1,Regular season,11.0,5.0,39.0,661.0,15.0,11.0,20.0,15.0,3.0,4.0,36.0,72.0,Regular season,21.0,5.0,10.0,348.0,13.0,9.0,19.0,26.0,1.0
Regular season,3.0,Sat,2021-08-28,18:30,Bayern Munich,2.8,0.4,Hertha BSC,25000.0,Allianz Arena,Sven Jablonski,24,5,0,Regular season,4.0,8.0,21.0,770.0,15.0,8.0,10.0,8.0,0.0,7.0,24.0,59.0,Regular season,5.0,3.0,10.0,519.0,17.0,14.0,11.0,18.0,3.0
Regular season,3.0,Sun,2021-08-29,15:30,Union Berlin,1.9,1.8,M'Gladbach,11006.0,Stadion An der Alten Försterei,Felix Brych,25,2,1,Regular season,15.0,4.0,13.0,427.0,20.0,10.0,21.0,20.0,0.0,14.0,11.0,77.0,Regular season,6.0,8.0,14.0,896.0,14.0,9.0,21.0,10.0,3.0
Regular season,3.0,Sun,2021-08-29,17:30,Wolfsburg,0.8,1.1,RB Leipzig,12058.0,Volkswagen Arena,Tobias Stieler,26,1,0,Regular season,13.0,7.0,14.0,533.0,14.0,3.0,10.0,19.0,3.0,10.0,18.0,88.0,Regular season,18.0,7.0,13.0,586.0,23.0,7.0,24.0,13.0,0.0
Regular season,4.0,Sat,2021-09-11,15:30,Freiburg,0.8,1.1,Köln,10000.0,Schwarzwald-Stadion,Harm Osmers,27,1,1,Regular season,14.0,4.0,19.0,586.0,15.0,8.0,17.0,28.0,5.0,7.0,23.0,87.0,Regular season,12.0,2.0,24.0,526.0,10.0,11.0,26.0,22.0,1.0
Regular season,4.0,Sat,2021-09-11,15:30,Hoffenheim,0.7,0.9,Mainz 05,8427.0,PreZero Arena,Marco Fritz,28,0,2,Regular season,16.0,4.0,28.0,693.0,8.0,2.0,17.0,17.0,2.0,7.0,24.0,97.0,Regular season,15.0,5.0,16.0,453.0,18.0,9.0,20.0,17.0,3.0
Regular season,4.0,Sat,2021-09-11,15:30,Union Berlin,1.0,1.0,Augsburg,10207.0,Stadion An der Alten Försterei,Martin Petersen,29,0,0,Regular season,10.0,6.0,25.0,652.0,13.0,9.0,19.0,16.0,1.0,7.0,29.0,85.0,Regular season,12.0,4.0,19.0,498.0,13.0,13.0,22.0,27.0,1.0
Regular season,4.0,Sat,2021-09-11,15:30,Leverkusen,0.7,1.8,Dortmund,17605.0,BayArena,Daniel Siebert,30,3,4,Regular season,10.0,4.0,10.0,519.0,11.0,11.0,4.0,14.0,1.0,3.0,15.0,64.0,Regular season,11.0,3.0,6.0,671.0,16.0,7.0,7.0,17.0,0.0
Regular season,4.0,Sat,2021-09-11,15:30,Greuther Fürth,0.3,1.4,Wolfsburg,9000.0,Sportpark Ronhof Thomas Sommer,Robert Hartmann,31,0,2,Regular season,17.0,3.0,13.0,379.0,16.0,12.0,22.0,11.0,0.0,7.0,21.0,80.0,Regular season,15.0,5.0,17.0,737.0,14.0,13.0,26.0,15.0,0.0
Regular season,4.0,Sat,2021-09-11,18:30,RB Leipzig,0.5,3.9,Bayern Munich,34000.0,Red Bull Arena,Deniz Aytekin,32,1,4,Regular season,9.0,2.0,21.0,643.0,20.0,11.0,15.0,19.0,4.0,9.0,19.0,67.0,Regular season,13.0,6.0,14.0,573.0,16.0,12.0,10.0,16.0,1.0
Regular season,4.0,Sun,2021-09-12,15:30,Eint Frankfurt,1.1,0.9,Stuttgart,25000.0,Deutsche Bank Park,Matthias Jöllenbeck,33,1,1,Regular season,13.0,6.0,35.0,670.0,25.0,16.0,15.0,11.0,2.0,2.0,34.0,79.0,Regular season,11.0,3.0,5.0,511.0,19.0,11.0,14.0,39.0,1.0
Regular season,4.0,Sun,2021-09-12,17:30,Bochum,1.2,0.3,Hertha BSC,14000.0,Vonovia Ruhrstadion,Robert Schröder,34,1,3,Regular season,8.0,7.0,37.0,673.0,21.0,12.0,20.0,8.0,1.0,2.0,32.0,108.0,Regular season,17.0,2.0,4.0,445.0,12.0,11.0,28.0,53.0,2.0
Regular season,4.0,Sun,2021-09-12,19:30,M'Gladbach,1.7,1.8,Arminia,24500.0,Stadion im Borussia-Park,Sascha Stegemann,35,3,1,Regular season,10.0,3.0,11.0,765.0,18.0,9.0,11.0,17.0,2.0,10.0,12.0,54.0,Regular season,18.0,4.0,20.0,476.0,12.0,8.0,13.0,12.0,0.0
Regular season,5.0,Fri,2021-09-17,20:30,Hertha BSC,0.7,1.4,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler,36,2,1,Regular season,12.0,9.0,22.0,618.0,11.0,10.0,21.0,41.0,1.0,8.0,18.0,83.0,Regular season,13.0,4.0,29.0,498.0,24.0,10.0,28.0,25.0,0.0
Regular season,5.0,Sat,2021-09-18,15:30,Augsburg,0.3,0.6,M'Gladbach,12500.0,WWK Arena,Florian Badstübner,37,1,0,Regular season,12.0,2.0,11.0,394.0,20.0,11.0,9.0,29.0,5.0,5.0,24.0,78.0,Regular season,9.0,6.0,23.0,726.0,18.0,8.0,21.0,6.0,2.0
Regular season,5.0,Sat,2021-09-18,15:30,Arminia,1.1,1.1,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich,38,0,0,Regular season,16.0,5.0,23.0,543.0,8.0,10.0,31.0,15.0,3.0,12.0,25.0,83.0,Regular season,2.0,6.0,27.0,697.0,20.0,1.0,22.0,20.0,1.0
Regular season,5.0,Sat,2021-09-18,15:30,Bayern Munich,5.6,0.4,Bochum,25000.0,Allianz Arena,Tobias Welz,39,7,0,Regular season,5.0,2.0,20.0,825.0,21.0,5.0,7.0,6.0,2.0,4.0,26.0,64.0,Regular season,9.0,2.0,12.0,469.0,11.0,16.0,10.0,27.0,5.0
Regular season,5.0,Sat,2021-09-18,15:30,Mainz 05,0.9,0.4,Freiburg,13500.0,Mewa Arena,Benjamin Brand,40,0,0,Regular season,18.0,4.0,14.0,480.0,14.0,15.0,22.0,16.0,3.0,11.0,22.0,76.0,Regular season,16.0,4.0,16.0,557.0,10.0,7.0,19.0,23.0,1.0
Regular season,5.0,Sat,2021-09-18,18:30,Köln,1.7,2.7,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych,41,1,1,Regular season,12.0,4.0,17.0,546.0,22.0,14.0,18.0,22.0,3.0,5.0,27.0,83.0,Regular season,6.0,10.0,22.0,593.0,17.0,7.0,15.0,22.0,3.0
Regular season,5.0,Sun,2021-09-19,15:30,Stuttgart,1.6,1.4,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus,42,1,3,Regular season,11.0,1.0,21.0,706.0,16.0,8.0,15.0,11.0,1.0,5.0,28.0,48.0,Regular season,11.0,6.0,13.0,481.0,21.0,10.0,9.0,22.0,0.0
Regular season,5.0,Sun,2021-09-19,17:30,Dortmund,0.9,1.6,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski,43,4,2,Regular season,11.0,3.0,10.0,743.0,11.0,19.0,14.0,13.0,0.0,3.0,20.0,58.0,Regular season,12.0,6.0,21.0,484.0,19.0,15.0,16.0,12.0,3.0
Regular season,5.0,Sun,2021-09-19,19:30,Wolfsburg,1.2,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer,44,1,1,Regular season,14.0,7.0,22.0,669.0,17.0,17.0,29.0,18.0,4.0,5.0,23.0,99.0,Regular season,17.0,4.0,17.0,491.0,15.0,16.0,21.0,19.0,0.0
Regular season,6.0,Fri,2021-09-24,20:30,Greuther Fürth,0.7,0.8,Bayern Munich,11740.0,Sportpark Ronhof Thomas Sommer,Robert Schröder,45,1,3,Regular season,19.0,6.0,16.0,458.0,16.0,13.0,6.0,26.0,4.0,6.0,18.0,63.0,Regular season,13.0,3.0,15.0,777.0,13.0,10.0,12.0,20.0,1.0
Regular season,6.0,Sat,2021-09-25,15:30,Eint Frankfurt,0.9,0.9,Köln,24000.0,Deutsche Bank Park,Martin Petersen,46,1,1,Regular season,11.0,7.0,34.0,510.0,17.0,13.0,17.0,18.0,3.0,14.0,27.0,84.0,Regular season,19.0,6.0,24.0,615.0,23.0,13.0,36.0,41.0,1.0
Regular season,6.0,Sat,2021-09-25,15:30,Hoffenheim,1.5,0.6,Wolfsburg,8523.0,PreZero Arena,Daniel Siebert,47,3,1,Regular season,13.0,5.0,26.0,551.0,9.0,8.0,16.0,24.0,0.0,8.0,20.0,62.0,Regular season,9.0,2.0,17.0,560.0,11.0,9.0,19.0,23.0,2.0
Regular season,6.0,Sat,2021-09-25,15:30,Leverkusen,1.5,0.9,Mainz 05,16624.0,BayArena,Bastian Dankert,48,1,0,Regular season,11.0,6.0,25.0,749.0,11.0,12.0,21.0,14.0,2.0,11.0,21.0,63.0,Regular season,12.0,3.0,11.0,443.0,28.0,17.0,9.0,21.0,3.0
Regular season,6.0,Sat,2021-09-25,15:30,Union Berlin,1.2,0.5,Arminia,11000.0,Stadion An der Alten Försterei,Marco Fritz,49,1,0,Regular season,9.0,5.0,22.0,655.0,15.0,19.0,27.0,26.0,4.0,5.0,27.0,69.0,Regular season,5.0,4.0,14.0,568.0,10.0,13.0,15.0,23.0,1.0
Regular season,6.0,Sat,2021-09-25,15:30,RB Leipzig,3.8,0.2,Hertha BSC,23500.0,Red Bull Arena,Sascha Stegemann,50,6,0,Regular season,8.0,2.0,14.0,644.0,15.0,11.0,15.0,6.0,3.0,2.0,15.0,67.0,Regular season,19.0,1.0,5.0,441.0,14.0,14.0,14.0,14.0,4.0
Regular season,6.0,Sat,2021-09-25,18:30,M'Gladbach,1.6,0.4,Dortmund,25000.0,Stadion im Borussia-Park,Deniz Aytekin,51,1,0,Regular season,17.0,5.0,15.0,680.0,20.0,11.0,8.0,6.0,4.0,4.0,23.0,53.0,Regular season,15.0,1.0,6.0,579.0,15.0,10.0,4.0,20.0,3.0
Regular season,6.0,Sun,2021-09-26,15:30,Bochum,0.8,0.3,Stuttgart,15300.0,Vonovia Ruhrstadion,Christian Dingert,52,0,0,Regular season,15.0,7.0,20.0,491.0,24.0,13.0,10.0,7.0,2.0,8.0,24.0,93.0,Regular season,13.0,2.0,7.0,585.0,13.0,11.0,14.0,26.0,0.0
Regular season,6.0,Sun,2021-09-26,17:30,Freiburg,3.1,0.2,Augsburg,14400.0,Schwarzwald-Stadion,Daniel Schlager,53,3,0,Regular season,10.0,6.0,17.0,620.0,14.0,9.0,19.0,19.0,2.0,11.0,16.0,81.0,Regular season,14.0,3.0,8.0,451.0,6.0,9.0,18.0,16.0,0.0
Regular season,7.0,Fri,2021-10-01,20:30,Köln,2.9,1.3,Greuther Fürth,40000.0,RheinEnergieSTADION,Matthias Jöllenbeck,54,3,1,Regular season,16.0,8.0,29.0,662.0,19.0,9.0,18.0,13.0,1.0,6.0,29.0,90.0,Regular season,18.0,1.0,10.0,392.0,13.0,10.0,25.0,34.0,2.0
Regular season,7.0,Sat,2021-10-02,15:30,Stuttgart,0.8,1.0,Hoffenheim,24211.0,Mercedes-Benz Arena,Harm Osmers,55,3,1,Regular season,14.0,2.0,16.0,474.0,15.0,9.0,11.0,18.0,1.0,7.0,20.0,38.0,Regular season,11.0,4.0,26.0,687.0,15.0,7.0,14.0,18.0,1.0
Regular season,7.0,Sat,2021-10-02,15:30,Dortmund,3.0,0.8,Augsburg,41000.0,Signal Iduna Park,Tobias Welz,56,2,1,Regular season,9.0,7.0,14.0,816.0,26.0,18.0,19.0,13.0,1.0,3.0,19.0,65.0,Regular season,16.0,3.0,13.0,433.0,28.0,16.0,12.0,18.0,4.0
Regular season,7.0,Sat,2021-10-02,15:30,Hertha BSC,1.0,0.7,Freiburg,18376.0,Olympiastadion Berlin,Patrick Ittrich,57,1,2,Regular season,17.0,4.0,10.0,499.0,9.0,11.0,17.0,22.0,0.0,6.0,19.0,64.0,Regular season,15.0,9.0,16.0,593.0,17.0,8.0,16.0,9.0,5.0
Regular season,7.0,Sat,2021-10-02,15:30,Wolfsburg,1.3,3.3,M'Gladbach,12845.0,Volkswagen Arena,Frank Willenborg,58,1,3,Regular season,17.0,4.0,19.0,602.0,19.0,8.0,15.0,17.0,2.0,2.0,27.0,64.0,Regular season,10.0,6.0,13.0,557.0,20.0,8.0,14.0,22.0,3.0
Regular season,7.0,Sat,2021-10-02,18:30,RB Leipzig,3.2,1.5,Bochum,25598.0,Red Bull Arena,Robert Hartmann,59,3,0,Regular season,10.0,2.0,11.0,664.0,15.0,13.0,22.0,18.0,0.0,7.0,20.0,73.0,Regular season,16.0,3.0,18.0,492.0,15.0,11.0,10.0,13.0,6.0
Regular season,7.0,Sun,2021-10-03,15:30,Mainz 05,1.1,1.4,Union Berlin,16000.0,Mewa Arena,Tobias Stieler,60,1,2,Regular season,15.0,2.0,15.0,616.0,12.0,9.0,25.0,22.0,0.0,11.0,30.0,87.0,Regular season,6.0,5.0,14.0,568.0,17.0,4.0,21.0,17.0,0.0
Regular season,7.0,Sun,2021-10-03,17:30,Bayern Munich,2.2,0.8,Eint Frankfurt,25000.0,Allianz Arena,Florian Badstübner,61,1,2,Regular season,6.0,10.0,19.0,935.0,12.0,14.0,16.0,4.0,4.0,1.0,21.0,71.0,Regular season,8.0,1.0,4.0,423.0,13.0,16.0,11.0,21.0,0.0
Regular season,7.0,Sun,2021-10-03,19:30,Arminia,0.4,3.1,Leverkusen,16250.0,SchücoArena,Felix Zwayer,62,0,4,Regular season,13.0,2.0,9.0,460.0,18.0,13.0,13.0,16.0,2.0,11.0,15.0,63.0,Regular season,7.0,4.0,16.0,785.0,13.0,8.0,19.0,18.0,0.0
