Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,12.995087,12.995087,12.521124,12.655166,12.655166,37640789933
2022-01-04,12.659862,12.851819,12.537298,12.581721,12.581721,40392309478
2022-01-05,12.584116,12.697147,11.305588,11.865850,11.865850,73991132635
2022-01-06,11.867022,12.033778,11.539895,11.922816,11.922816,53234919833
2022-01-07,11.922175,11.928907,11.247514,11.507495,11.507495,71958188650
2022-01-08,11.508056,11.708069,10.962204,11.280299,11.280299,43385771053
2022-01-09,11.280714,11.413067,11.106074,11.217451,11.217451,30354771645
2022-01-10,11.218039,11.275995,10.362634,10.616701,10.616701,56555866981
2022-01-11,10.616061,12.166648,10.563937,11.323267,11.323267,120204742187
2022-01-12,11.327597,11.929783,11.250795,11.929783,11.929783,66124852297
2022-01-13,11.923161,12.922875,11.923161,12.726422,12.726422,170271279558
2022-01-14,12.727147,15.067106,12.670195,13.611275,13.611275,428920115277
2022-01-15,13.618344,14.356616,13.546547,13.726509,13.726509,139286371102
2022-01-16,13.725785,13.725785,13.001579,13.160747,13.160747,81913192492
2022-01-17,13.161614,13.212496,12.397873,12.708515,12.708515,81263857463
2022-01-18,12.704139,12.904893,12.126173,12.348492,12.348492,73104661308
2022-01-19,12.348485,12.596656,11.946266,12.087601,12.087601,69612556274
2022-01-20,12.086921,12.560401,11.551761,11.553796,11.553796,34933719597
2022-01-21,11.558227,11.699081,10.530182,10.615348,10.615348,86555586550
2022-01-22,10.616146,10.792991,9.140052,9.889896,9.889896,126032861418
2022-01-23,9.894938,10.647471,9.884463,10.557158,10.557158,74881829206
2022-01-24,10.558485,10.563650,9.493195,10.285933,10.285933,108001950285
2022-01-25,10.284862,11.006003,9.956304,10.695210,10.695210,100752519908
2022-01-26,10.692625,11.422187,10.666083,10.788775,10.788775,94023270735
2022-01-27,10.786297,10.898710,10.297021,10.623148,10.623148,45780620610
2022-01-28,10.622903,10.710797,10.389722,10.624440,10.624440,38000845296
2022-01-29,10.623931,10.799010,10.611197,10.729398,10.729398,29821424495
2022-01-30,10.729514,10.770305,10.413022,10.466820,10.466820,27315172818
2022-01-31,10.466694,10.609062,10.260990,10.572432,10.572432,30739997579
2022-02-01,10.572410,10.775556,10.524299,10.661069,10.661069,30603324319
2022-02-02,10.660655,10.868896,10.241570,10.268263,10.268263,36153858440
2022-02-03,10.266612,10.377088,10.152349,10.266615,10.266615,28626560198
2022-02-04,10.265299,11.017173,10.244951,11.010563,11.010563,43350195188
2022-02-05,11.012794,11.207392,10.854361,10.983514,10.983514,43818111325
2022-02-06,10.983470,11.553352,10.842971,11.477766,11.477766,56504456856
2022-02-07,11.480202,12.802732,11.326310,12.361833,12.361833,133740243221
2022-02-08,12.363905,12.634407,11.484502,11.832192,11.832192,88896488180
2022-02-09,11.828567,12.027089,11.581905,11.903826,11.903826,58251709098
2022-02-10,11.905513,12.004285,11.405071,11.473498,11.473498,79589835047
2022-02-11,11.473976,11.597639,10.843341,10.956686,10.956686,58754307034
2022-02-12,10.957393,11.120491,10.675200,10.923217,10.923217,45590051567
2022-02-13,10.921247,11.902736,10.894974,11.239576,11.239576,119306874655
2022-02-14,11.233655,11.328916,10.865813,11.050297,11.050297,67968945691
2022-02-15,11.049774,11.445446,10.981014,11.408453,11.408453,50739454259
2022-02-16,11.409830,11.413186,11.025933,11.176330,11.176330,37899386381
2022-02-17,11.172886,11.240144,10.370984,10.402089,10.402089,54159278031
2022-02-18,10.405208,10.623955,10.228209,10.363810,10.363810,42108355913
2022-02-19,10.363518,10.896868,10.362552,10.545857,10.545857,48976733917
2022-02-20,10.545188,10.545188,10.146031,10.222010,10.222010,36606110613
2022-02-21,10.219766,10.521884,9.597869,9.616150,9.616150,68386323746
2022-02-22,9.615993,9.828044,9.384228,9.817316,9.817316,53131614229
2022-02-23,9.817922,10.092598,9.544357,9.544357,9.544357,43857789827
2022-02-24,9.542503,9.544709,8.248314,9.336537,9.336537,154321895196
2022-02-25,9.338792,9.620698,9.120715,9.575237,9.575237,60431686413
2022-02-26,9.574704,9.762543,9.471936,9.583143,9.583143,40208609454
2022-02-27,9.582528,9.624754,9.160728,9.241720,9.241720,44500941643
2022-02-28,9.242196,10.124857,9.153282,10.024691,10.024691,57649972269
2022-03-01,10.025987,10.421042,9.866536,10.152695,10.152695,66447892182
2022-03-02,10.154684,10.315034,9.950755,10.051987,10.051987,53630018970
2022-03-03,10.052597,10.136163,9.709486,9.835734,9.835734,39324165801
2022-03-04,9.837304,9.854351,9.288630,9.367527,9.367527,49719179870
2022-03-05,9.369269,9.580218,9.289644,9.551260,9.551260,25528870978
2022-03-06,9.553488,9.598313,9.199931,9.229096,9.229096,30603681371
2022-03-07,9.229373,9.397832,8.870438,9.026554,9.026554,39543717567
2022-03-08,9.026681,9.203176,8.929177,9.001278,9.001278,37797003603
2022-03-09,9.002641,9.478120,8.981051,9.257112,9.257112,39526138821
2022-03-10,9.255876,9.258959,8.821015,8.919569,8.919569,39196250475
2022-03-11,8.920193,9.027680,8.791351,8.873534,8.873534,29838400998
2022-03-12,8.873963,8.999143,8.837435,8.837725,8.837725,18059674354
2022-03-13,8.833471,8.921809,8.495710,8.566486,8.566486,28662640842
2022-03-14,8.566401,9.117088,8.505795,8.723555,8.723555,62882116879
2022-03-15,8.723182,8.736203,8.488896,8.604666,8.604666,30564271220
2022-03-16,8.604318,8.887896,8.573496,8.887896,8.887896,40838121784
2022-03-17,8.887756,9.018545,8.837064,8.852032,8.852032,31368260104
2022-03-18,8.851135,9.066116,8.725010,9.060872,9.060872,31203633993
2022-03-19,9.058729,9.460871,9.001978,9.384622,9.384622,47700712620
2022-03-20,9.385402,9.411252,8.961047,9.052564,9.052564,32525257963
2022-03-21,9.051940,9.247086,9.002774,9.106477,9.106477,33536054449
2022-03-22,9.105961,9.532359,9.079716,9.321083,9.321083,46460900700
2022-03-23,9.321488,9.999539,9.238547,9.930844,9.930844,76469280848
2022-03-24,9.930443,10.739744,9.833593,10.422004,10.422004,154015751183
2022-03-25,10.426035,10.469534,9.821483,9.993502,9.993502,67314869328
2022-03-26,9.993294,10.411543,9.906936,10.363656,10.363656,46560029996
2022-03-27,10.366168,11.049599,10.351078,11.039941,11.039941,110224289939
2022-03-28,11.039457,11.617879,10.831566,10.846824,10.846824,112292973800
2022-03-29,10.839200,11.252318,10.684524,10.931573,10.931573,72721579503
2022-03-30,10.930577,11.011310,10.585501,10.859339,10.859339,67055135717
2022-03-31,10.857348,11.143519,10.412686,10.462301,10.462301,80094866531
2022-04-01,10.469559,10.815354,10.111233,10.733417,10.733417,66651563906
2022-04-02,10.733005,10.948566,10.548715,10.551074,10.551074,51832046850
2022-04-03,10.550322,11.283627,10.412439,11.129713,11.129713,79597139959
2022-04-04,11.126696,11.728169,10.722928,11.213658,11.213658,170064826898
2022-04-05,11.215404,13.418162,11.150011,13.045961,13.045961,394630228625
2022-04-06,13.014141,13.090494,10.882273,10.891826,10.891826,283203835285
2022-04-07,10.893030,11.244702,10.731982,11.091113,11.091113,107857122664
2022-04-08,11.091385,11.575049,10.750562,10.821935,10.821935,127829934399
2022-04-09,10.821558,10.967229,10.735986,10.955160,10.955160,39780573296
2022-04-10,10.955212,11.916913,10.921740,11.352344,11.352344,146659773591
2022-04-11,11.340146,11.473203,10.148719,10.211975,10.211975,114946929418
2022-04-12,10.211808,10.961327,10.180845,10.514504,10.514504,92454086973
2022-04-13,10.514018,10.855975,10.442372,10.663194,10.663194,67804007000
2022-04-14,10.661096,11.160744,10.515648,10.982408,10.982408,134232793244
2022-04-15,10.982187,11.390749,10.894464,11.146417,11.146417,87047189333
2022-04-16,11.145680,11.282648,10.846179,10.969780,10.969780,44579118400
2022-04-17,10.968344,11.045851,10.609699,10.645135,10.645135,48580691049
2022-04-18,10.646051,10.720496,10.261403,10.701053,10.701053,69393732581
2022-04-19,10.701896,11.020916,10.642774,10.906113,10.906113,51945707474
2022-04-20,10.907066,11.172564,10.646379,10.745701,10.745701,81504616756
2022-04-21,10.744916,10.850001,10.317927,10.403563,10.403563,56497913726
2022-04-22,10.402932,10.516320,10.330973,10.429265,10.429265,38633381016
2022-04-23,10.428638,10.436888,10.231594,10.264710,10.264710,26742769436
2022-04-24,10.261703,10.299062,10.055274,10.089157,10.089157,33385616395
2022-04-25,10.088312,12.838437,9.496579,12.088254,12.088254,396248232110
2022-04-26,12.074387,12.658146,10.553404,10.579728,10.579728,347802191286
2022-04-27,10.585899,11.136150,10.464641,10.682988,10.682988,134999766556
2022-04-28,10.682323,10.906142,10.429060,10.520499,10.520499,84641644959
2022-04-29,10.521540,11.070298,10.264257,10.332933,10.332933,119026455996
2022-04-30,10.333366,10.447801,9.660388,9.761305,9.761305,70143552632
2022-05-01,9.763694,10.317128,9.759414,10.160200,10.160200,75889035165
2022-05-02,10.161858,10.243764,9.817359,10.020088,10.020088,58852871610
2022-05-03,10.019846,10.122456,9.746941,9.904082,9.904082,42493512769
2022-05-04,9.903650,10.321710,9.893170,10.321710,10.321710,63693356148
2022-05-05,10.321996,10.458911,9.695091,9.830257,9.830257,96294982617
2022-05-06,9.828254,9.919109,9.589855,9.842341,9.842341,64564111667
2022-05-07,9.841512,10.151631,9.647249,9.813986,9.813986,57436503381
2022-05-08,9.813563,9.851272,9.540200,9.558704,9.558704,56098590724
2022-05-09,9.558161,9.635712,8.109817,8.109817,8.109817,104701520766
2022-05-10,8.100869,9.090148,7.809174,8.382228,8.382228,133144100552
2022-05-11,8.379995,8.540083,6.195686,6.548124,6.548124,197882687610
2022-05-12,6.552406,6.892679,5.425601,6.402375,6.402375,203760242574
2022-05-13,6.399861,7.288430,6.379263,6.844422,6.844422,111917674128
2022-05-14,6.845254,7.097602,6.546293,6.958009,6.958009,69930012750
2022-05-15,6.957088,7.194070,6.731723,7.194070,7.194070,50513547227
2022-05-16,7.195919,7.210955,6.728316,6.834550,6.834550,47190937737
2022-05-17,6.834157,7.064697,6.779134,6.980031,6.980031,43390593256
2022-05-18,6.980636,7.025181,6.509612,6.509612,6.509612,43443877957
2022-05-19,6.508506,6.748143,6.384600,6.714176,6.714176,47521372945
2022-05-20,6.713883,6.794466,6.449486,6.534976,6.534976,40353331380
2022-05-21,6.534566,6.623167,6.453655,6.572776,6.572776,26088375242
2022-05-22,6.571646,6.729717,6.541264,6.700591,6.700591,29184018670
2022-05-23,6.698904,6.838761,6.423728,6.454358,6.454358,39336073511
2022-05-24,6.455418,6.540530,6.266486,6.480144,6.480144,35827530537
2022-05-25,6.479405,6.539779,6.385794,6.431054,6.431054,32535702828
2022-05-26,6.431775,6.478774,5.902467,6.074711,6.074711,55264415917
2022-05-27,6.090704,6.100639,5.983524,6.003766,6.003766,62509035520
